Education Level,Job Title,Years of Experience,Salary
Master,Marketing Coordinator,9,100000
Bachelor,Product Manager,3,125000
Bachelor,Software Developer,2,55000
Bachelor,Operations Manager,8,104000
PhD,Senior Data Scientist,12,170000
PhD,Software Engineer Manager,20,210000
High School,Senior Software Engineer,22,165919
Bachelor,Full Stack Engineer,7,130000
Bachelor,Sales Representative,2,40000
Master,Marketing Director,14,195000
Master,Senior Graphic Designer,15,110000
PhD,Senior Data Scientist,16,190000
Master,Marketing Coordinator,13,131000
Master,Full Stack Engineer,7,140000
PhD,Software Engineer Manager,26,185982
Bachelor,Software Engineer,5,74000
Master,Marketing Manager,7,110000
Bachelor,Marketing Analyst,3,60000
Bachelor,Digital Marketing Manager,6,95000
Bachelor,Senior Project Engineer,21,167015
Master,Senior Software Engineer,23,185038
Bachelor,Junior Web Developer,2,50000
Bachelor,Front End Developer,4,80000
Bachelor,Financial Manager,16,215000
Bachelor,Financial Manager,16,215000
PhD,Director of Marketing,12,170000
Bachelor,Product Manager,1,60000
Bachelor,Full Stack Engineer,13,143885
Bachelor,IT Support Specialist,7,60000
Master,Product Designer,6,90000
Bachelor,Front end Developer,12,137878
Master,Content Marketing Manager,4,80000
Master,Product Manager,11,198000
Bachelor,Data Analyst,2,110000
PhD,Full Stack Engineer,14,180000
Bachelor,Marketing Coordinator,4,65000
Master,Software Engineer Manager,13,170000
Bachelor,Junior Software Developer,1,35000
Bachelor,Senior Project Engineer,22,171468
Bachelor,Data Analyst,3,130000
Bachelor,Financial Analyst,4,80000
High School,Sales Associate,1,35000
PhD,Data Scientist,9,145000
PhD,Senior Software Engineer,14,170000
Bachelor,Software Engineer,2,65000
Master,Marketing Manager,11,110000
Bachelor,Sales Representative,1,35000
Bachelor,Junior Marketing Manager,3,55000
Bachelor,Marketing Analyst,3,60000
PhD,Software Engineer Manager,33,191790
PhD,Data Scientist,15,150000
High School,Sales Associate,0,25000
PhD,Senior Project Engineer,14,190000
Bachelor,Sales Director,6,75000
PhD,Software Engineer Manager,34,188651
PhD,Director of HR,14,140000
Bachelor,Junior Software Engineer,1,45000
High School,Sales Manager,2,40000
PhD,Principal Scientist,11,120000
Master,Marketing Manager,8,120000
Bachelor,Software Engineer,3,75000
PhD,Software Engineer Manager,11,165000
Bachelor,Full Stack Engineer,6,115000
PhD,Director of Data Science,18,210000
Master,Product Manager,11,198000
Master,Senior Financial Analyst,18,150000
Bachelor,Software Engineer,4,140000
Bachelor,Marketing Manager,9,130000
Bachelor,Marketing Analyst,3,65000
Bachelor,Sales Director,9,140000
Master,Human Resources Manager,8,92000
Master,Marketing Manager,12,150000
Master,Full Stack Engineer,6,115000
Bachelor,Software Engineer,4,150000
Master,Product Manager,11,198000
PhD,Senior Project Engineer,19,200000
Bachelor,Product Manager,7,120000
Bachelor,Junior Financial Analyst,4,60000
Bachelor,Senior Project Engineer,20,142421
Master,Data Analyst,1,100000
High School,Junior HR Generalist,1,32000
PhD,Software Engineer Manager,16,185000
PhD,Senior Project Engineer,14,190000
PhD,Research Director,11,160000
Master,Director of Marketing,14,140000
Master,Marketing Manager,6,77000
PhD,Software Engineer Manager,18,161621
Bachelor,Financial Manager,16,200000
PhD,Senior Research Scientist,13,145000
PhD,Sales Director,10,155000
Bachelor,Junior Business Analyst,4,60000
High School,Sales Associate,1,35000
Bachelor,Back end Developer,1,55935
High School,Junior Sales Associate,1,26000
Master,Marketing Manager,10,110000
Bachelor,Operations Manager,6,90000
Master,Product Manager,8,135000
Master,Software Engineer Manager,12,160000
PhD,Software Engineer Manager,27,190596
Bachelor,Back end Developer,12,132442
Bachelor,Back end Developer,6,120000
Bachelor,Human Resources Manager,6,75000
Master,Back end Developer,8,140000
Bachelor,Product Manager,12,190000
High School,Junior HR Generalist,0,40000
Master,Marketing Manager,13,130000
PhD,Data Scientist,17,168000
Bachelor,Product Manager,1,60000
Master,Financial Manager,7,120000
Master,Digital Marketing Manager,14,140000
Master,Senior Business Development Manager,11,120000
Master,Senior HR Generalist,8,95000
Bachelor,Software Engineer,8,180000
Bachelor,Front end Developer,2,70000
Master,Data Scientist,6,180000
Master,Senior Software Engineer,7,140000
PhD,Data Scientist,9,140000
Master,Full Stack Engineer,4,90452
High School,Junior Sales Representative,3,40000
Master,Data Scientist,9,195000
PhD,Senior Research Scientist,10,130000
Bachelor,Junior Software Engineer,2,48000
Master,Data Analyst,9,120000
Bachelor,Product Designer,2,55000
High School,Junior Sales Associate,1,25000
Bachelor,Data Analyst,3,130000
PhD,Research Scientist,10,150000
High School,Receptionist,0,25000
PhD,Senior Software Engineer,12,160000
Master,Full Stack Engineer,5,120000
PhD,Senior Project Engineer,16,190000
Bachelor,Operations Manager,7,85000
High School,Junior Sales Associate,1,26000
Bachelor,Front end Developer,2,65000
Bachelor,Front end Developer,2,65000
PhD,Senior Human Resources Manager,15,150000
Master,Senior Data Scientist,9,125000
Master,Senior Project Engineer,9,126753
Bachelor,Product Manager,9,185000
PhD,Data Scientist,16,160000
Bachelor,Product Manager,7,120000
Bachelor,Web Developer,4,65000
Bachelor,Software Developer,6,85000
Bachelor,Sales Director,10,100000
Master,Content Marketing Manager,4,80000
Bachelor,Software Engineer,8,190000
Bachelor,Product Designer,2,55000
High School,Junior Sales Associate,1,26000
PhD,Senior Product Designer,15,150000
PhD,Software Engineer Manager,20,200000
Bachelor,Full Stack Engineer,4,73895
Master,Senior Software Engineer,7,100000
PhD,Software Engineer Manager,18,157872
Master,Financial Manager,7,120000
Master,Marketing Manager,10,110000
Bachelor,Software Engineer,10,190000
Master,Marketing Manager,10,110000
Master,Marketing Manager,11,117000
Bachelor,Marketing Coordinator,4,65000
PhD,Senior Software Engineer,26,194638
PhD,Senior Engineer,17,140000
PhD,Senior Project Engineer,14,185000
Bachelor,Sales Director,9,140000
High School,Junior HR Generalist,2,35000
Bachelor,Sales Manager,5,70000
Bachelor,Human Resources Manager,8,92000
Master,Senior HR Manager,14,140000
Bachelor,Product Manager,12,190000
Master,Junior HR Generalist,1,32000
Master,Senior Project Engineer,8,122354
Master,Full Stack Engineer,21,168906
Master,Data Scientist,9,185000
Bachelor,Marketing Analyst,2,50000
Master,Senior Project Engineer,11,170000
Bachelor,Full Stack Engineer,8,124071
Bachelor,Web Developer,3,60000
Bachelor,Front end Developer,4,90000
Bachelor,Software Engineer,4,160000
Bachelor,Operations Manager,8,104000
Master,Marketing Manager,14,170000
Bachelor,Software Engineer,10,190000
Master,Software Engineer Manager,21,166512
PhD,Senior Project Engineer,17,195000
Bachelor,Software Engineer,3,80000
Master,Data Analyst,9,120000
Master,Software Engineer Manager,12,160000
Master,Marketing Coordinator,12,122000
Master,Data Analyst,8,100000
PhD,Research Director,12,170000
Bachelor,Junior Software Engineer,1,45000
Master,Marketing Manager,10,110000
Master,Product Manager,11,198000
Bachelor,Sales Representative,1,35000
Bachelor,Marketing Analyst,4,70000
Bachelor,Software Developer,2,55000
PhD,Director of Data Science,16,200000
Master,Senior Software Engineer,10,155000
PhD,Research Scientist,12,170000
Bachelor,Product Designer,2,55000
Master,Data Scientist,6,180000
PhD,Data Scientist,5,180000
Master,Marketing Manager,5,68000
Bachelor,Junior Business Analyst,2,40000
High School,Sales Associate,1,30000
Bachelor,Software Developer,5,80000
Master,Marketing Manager,8,120000
Bachelor,Human Resources Manager,9,99000
PhD,Data Scientist,8,140000
PhD,Data Scientist,13,140000
Bachelor,Digital Content Producer,3,50000
PhD,Senior Project Engineer,12,170000
Bachelor,Operations Manager,9,110000
Bachelor,Front end Developer,1,55000
Bachelor,Back end Developer,19,150729
Bachelor,Software Engineer,3,70000
Master,Data Scientist,4,182000
Bachelor,Operations Manager,6,75000
Bachelor,Software Engineer,3,70000
Bachelor,Front End Developer,4,80000
Bachelor,Front end Developer,3,80000
Bachelor,Web Developer,1,35000
Bachelor,Junior Marketing Manager,3,55000
Bachelor,Financial Manager,16,215000
High School,Receptionist,0,25000
Master,Full Stack Engineer,15,171652
Master,Product Manager,11,195000
PhD,Research Director,11,170000
PhD,Senior Research Scientist,13,145000
Bachelor,Software Engineer,3,80000
Bachelor,Software Engineer,4,140000
Master,Software Engineer Manager,13,170000
Bachelor,Junior Marketing Manager,3,55000
High School,Customer Service Representative,1,30000
Bachelor,Data Analyst,2,110000
Bachelor,Software Engineer,4,140000
High School,Sales Associate,3,50000
High School,Junior Sales Representative,0,25000
Master,Full Stack Engineer,3,100000
Master,Back end Developer,2,70000
Bachelor,Junior Software Developer,5,50000
Master,Senior Software Engineer,23,174336
High School,Junior HR Coordinator,1,30000
Bachelor,Front End Developer,4,80000
Bachelor,Marketing Analyst,3,60000
PhD,Senior Project Engineer,17,195000
Bachelor,Data Analyst,11,160000
Bachelor,Software Engineer,5,90000
Master,Product Manager,12,196000
Bachelor,Software Engineer,10,190000
Master,Financial Manager,7,120000
PhD,Software Engineer Manager,26,185462
Bachelor,Marketing Analyst,4,70000
Bachelor,Back end Developer,19,150729
PhD,Data Scientist,8,190000
Bachelor,Product Designer,3,60000
Master,Human Resources Manager,13,140000
Bachelor,Content Marketing Manager,12,120000
Bachelor,Human Resources Manager,8,95000
Master,Software Engineer Manager,16,154990
Master,Full Stack Engineer,5,102868
Master,Product Manager,11,198000
PhD,Software Engineer Manager,18,210000
Bachelor,Data Analyst,2,95000
Bachelor,Junior Marketing Manager,6,72000
Bachelor,Front end Developer,3,80000
Master,Senior Software Engineer,9,150000
PhD,Senior Project Engineer,14,190000
PhD,Senior Project Engineer,16,190000
Bachelor,Software Engineer Manager,11,155000
Bachelor,Junior Software Developer,2,36000
PhD,Senior Project Engineer,16,185000
Bachelor,Product Designer,3,60000
Master,Human Resources Manager,13,140000
Master,Data Analyst,8,100000
Master,Marketing Manager,14,140000
PhD,Software Engineer Manager,20,200000
Master,Senior Marketing Analyst,14,100000
PhD,Senior Project Engineer,16,190000
Bachelor,Marketing Analyst,3,60000
PhD,Research Scientist,12,170000
Master,Director of HR,12,120000
Bachelor,Full Stack Engineer,22,181132
PhD,Data Scientist,7,185000
PhD,Senior Business Analyst,15,150000
Master,Marketing Manager,9,130000
High School,Back end Developer,0,51832
Bachelor,Software Engineer Manager,10,150000
High School,Junior Sales Associate,1,30000
Master,Product Manager,11,198000
Bachelor,Marketing Coordinator,3,60000
Master,Back end Developer,6,130000
Bachelor,Web Developer,1,35000
Bachelor,Product Manager,9,185000
Bachelor,Junior Web Developer,1,40000
High School,Junior Sales Associate,1,25000
Bachelor,Junior Web Developer,2,45000
Bachelor,Data Analyst,11,160000
Bachelor,Data Analyst,11,160000
Bachelor,Software Engineer,4,140000
PhD,Data Scientist,7,185000
Bachelor,Senior Software Engineer,13,130000
PhD,Senior Human Resources Manager,12,120000
High School,Junior Sales Associate,1,26000
Master,Director of Marketing,19,170000
PhD,Research Scientist,8,120000
Master,Marketing Manager,12,120000
Master,Software Engineer,2,60000
Bachelor,Financial Analyst,4,80000
High School,Web Developer,1,35000
High School,Junior Sales Associate,2,31000
Master,Marketing Manager,9,135000
PhD,Research Scientist,12,160000
Bachelor,Operations Manager,11,119000
Master,Back end Developer,2,70000
Bachelor,Sales Director,9,140000
Bachelor,Junior Data Analyst,2,50000
Master,Marketing Manager,9,130000
Bachelor,Senior IT Project Manager,14,130000
Bachelor,Recruiter,11,70000
Bachelor,Software Developer,3,60000
Master,Data Scientist,6,180000
Master,Product Manager,3,130000
Bachelor,Software Engineer,5,150000
PhD,Software Engineer Manager,16,185000
Master,Front end Developer,5,105000
Bachelor,Senior Software Engineer,6,104378
Bachelor,Software Engineer,5,160000
High School,Senior Project Engineer,1,52731
Master,Full Stack Engineer,3,95000
Master,Back end Developer,3,90000
Bachelor,Product Manager,1,60000
Bachelor,Product Manager,7,120000
PhD,Data Scientist,15,150000
Master,Full Stack Engineer,6,115000
PhD,Data Scientist,9,145000
High School,Sales Manager,2,40000
Master,Full Stack Engineer,13,146351
Master,Data Scientist,9,140000
Master,Senior Software Engineer,11,165000
Master,Full Stack Engineer,5,105000
Master,Marketing Manager,7,110000
Master,Software Engineer,6,170000
PhD,Data Scientist,16,162000
Bachelor,Marketing Coordinator,4,65000
Master,Financial Manager,8,120000
PhD,Software Engineer Manager,17,195000
Bachelor,Marketing Analyst,3,65000
Master,Senior Software Engineer,21,177002
Bachelor,Junior Marketing Manager,3,55000
Bachelor,Front end Developer,3,80000
Master,Data Scientist,6,170000
Master,Content Marketing Manager,4,80000
High School,Junior Sales Associate,1,30000
Bachelor,Full Stack Engineer,6,115000
High School,Junior Sales Representative,3,40000
Bachelor,Product Manager,9,185000
Bachelor,Senior Project Engineer,25,166958
Bachelor,Software Engineer,3,75000
Bachelor,Senior Marketing Analyst,8,85000
Bachelor,Data Analyst,11,160000
Bachelor,Software Engineer,1,50000
Bachelor,Marketing Analyst,2,50000
PhD,Data Scientist,7,185000
Bachelor,Data Analyst,3,120000
Master,Director of Marketing,16,180000
PhD,Senior Research Scientist,11,135000
PhD,Research Director,11,160000
Bachelor,Front end Developer,2,70000
Bachelor,Software Engineer,4,140000
Master,Back end Developer,8,140000
Bachelor,Data Analyst,3,120000
PhD,Software Engineer Manager,17,200000
PhD,Data Scientist,15,150000
Master,Front end Developer,9,121432
PhD,Senior Software Engineer,12,160000
Bachelor,Human Resources Manager,6,75000
Bachelor,Software Engineer,3,70000
Bachelor,Marketing Analyst,4,75000
Bachelor,Front end Developer,6,110000
PhD,Software Engineer Manager,27,190596
Master,Financial Manager,8,120000
Bachelor,Data Analyst,11,160000
Master,Human Resources Coordinator,2,45000
Bachelor,Data Analyst,2,95000
Bachelor,Data Analyst,1,90000
High School,Receptionist,0,25000
Master,Product Manager,14,180000
Master,Web Developer,8,90000
Bachelor,Junior Software Developer,2,35000
PhD,Senior Project Engineer,14,175000
Bachelor,Operations Manager,7,96000
Master,Product Manager,7,110000
PhD,Director of HR,14,140000
Master,Marketing Director,14,195000
Master,Senior Data Scientist,9,125000
Bachelor,Product Manager,1,60000
Bachelor,Junior Software Developer,2,36000
Bachelor,Software Engineer,9,180000
Bachelor,Software Developer,5,80000
Bachelor,Data Analyst,9,195000
Master,Marketing Manager,14,140000
Bachelor,Senior Marketing Specialist,8,85000
Master,Full Stack Engineer,11,129686
PhD,Director of HR,14,130000
PhD,Senior Human Resources Manager,7,90000
Bachelor,Full Stack Engineer,6,115000
Master,Senior Project Engineer,7,135000
Master,Senior Data Scientist,9,125000
Bachelor,Data Analyst,2,110000
Bachelor,Software Engineer,2,55000
High School,Junior Sales Associate,1,25000
Bachelor,Data Analyst,3,110000
Master,Front end Developer,5,105000
PhD,Data Scientist,16,160000
Bachelor,Software Engineer,4,65000
Bachelor,Operations Manager,5,70000
Master,Marketing Manager,6,77000
Bachelor,Product Manager,1,60000
Bachelor,Junior Web Developer,1,40000
Bachelor,Software Developer,2,55000
PhD,Data Scientist,2,115000
High School,Junior HR Coordinator,2,33000
Bachelor,Product Manager,9,185000
PhD,Director of HR,11,115000
Bachelor,Training Specialist,12,65000
Bachelor,Marketing Analyst,4,70000
Bachelor,Graphic Designer,2,50000
Bachelor,Operations Manager,5,70000
Bachelor,CEO,25,250000
Bachelor,Back end Developer,8,140000
Master,Data Scientist,6,180000
High School,Sales Associate,1,30000
Bachelor,Software Engineer,3,80000
Master,Software Engineer Manager,13,170000
Bachelor,Sales Director,9,140000
Bachelor,Data Analyst,11,160000
PhD,Director of Data Science,18,210000
PhD,Software Engineer Manager,16,190000
Bachelor,Data Analyst,2,90000
PhD,Software Engineer Manager,16,185000
Bachelor,Event Coordinator,5,45000
Bachelor,Junior HR Coordinator,2,38000
Bachelor,Back end Developer,18,155795
Bachelor,Junior Software Developer,1,35000
Master,Back end Developer,6,130000
Bachelor,Senior Project Engineer,22,171468
Bachelor,Operations Manager,8,101000
Bachelor,Graphic Designer,2,50000
Bachelor,Software Engineer Manager,12,160000
Bachelor,Software Engineer,8,180000
Master,Product Manager,7,110000
PhD,Data Scientist,7,185000
Master,Full Stack Engineer,20,167924
Bachelor,Software Engineer,5,160000
Bachelor,Junior Software Developer,2,36000
Bachelor,Customer Success Manager,2,40000
Bachelor,Data Analyst,11,160000
Bachelor,Financial Analyst,11,150000
Master,Director of Marketing,17,170000
PhD,Data Scientist,8,140000
PhD,Director of HR,11,115000
Bachelor,Back end Developer,5,100000
Master,Full Stack Engineer,4,89843
Bachelor,Junior Marketing Manager,6,72000
High School,Junior Sales Representative,0,25000
PhD,Data Scientist,16,160000
Bachelor,Data Analyst,1,90000
PhD,Marketing Manager,4,55000
Master,Product Manager,11,198000
PhD,Data Scientist,8,140000
PhD,Data Scientist,19,190000
Master,Financial Manager,7,120000
Bachelor,Software Engineer,1,60000
High School,Junior Sales Associate,1,26000
PhD,Data Scientist,9,145000
PhD,Senior Project Engineer,17,195000
Master,Sales Representative,2,40000
Master,Marketing Manager,20,204000
Bachelor,Product Manager,8,190000
Bachelor,Software Engineer,5,150000
High School,Junior Sales Associate,1,25000
PhD,Software Engineer Manager,18,162454
Bachelor,Software Engineer,4,80000
PhD,Software Engineer Manager,15,185000
Bachelor,Software Engineer,8,190000
PhD,Research Scientist,12,170000
High School,Junior Sales Associate,1,26000
Bachelor,Software Developer,2,60000
PhD,Marketing Manager,8,80000
Master,Front end Developer,1,55000
Master,Financial Manager,8,120000
Bachelor,Software Developer,3,61000
PhD,Marketing Manager,4,55000
PhD,Senior Research Scientist,12,140000
Bachelor,Product Manager,1,55000
Master,Senior Software Engineer,13,140010
High School,Receptionist,0,25000
PhD,Financial Manager,12,120000
PhD,Senior Project Engineer,17,195000
PhD,Software Engineer Manager,17,195000
Bachelor,Junior Marketing Manager,5,70000
Bachelor,Back end Developer,14,136449
Bachelor,Operations Manager,11,119000
Bachelor,Marketing Coordinator,5,90000
Bachelor,Software Developer,6,85000
PhD,Senior Data Scientist,15,180000
High School,Junior Sales Associate,1,26000
Bachelor,Operations Manager,11,119000
PhD,Director of Marketing,6,105000
Bachelor,Graphic Designer,3,60000
Bachelor,Sales Executive,1,35000
Bachelor,Marketing Coordinator,5,90000
Bachelor,Back end Developer,3,80000
Bachelor,HR Generalist,15,80000
PhD,Software Engineer Manager,15,148727
Bachelor,Front end Developer,1,60000
PhD,Senior Product Marketing Manager,17,170000
Master,Software Engineer Manager,23,182392
Master,Senior Data Scientist,9,125000
Bachelor,Marketing Manager,7,110000
High School,Back end Developer,1,52807
High School,Junior Sales Associate,2,31000
High School,Digital Marketing Manager,2,40000
Bachelor,Software Engineer,6,175000
Bachelor,Back end Developer,3,80000
Master,Product Manager,11,198000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Software Engineer,3,75000
PhD,Data Scientist,8,190000
Bachelor,Software Engineer,4,140000
Master,Director of Marketing,18,170000
Master,Software Engineer,8,120000
Bachelor,Full Stack Engineer,8,145000
Master,Data Scientist,6,180000
PhD,Director of Marketing,20,200000
PhD,Senior Data Scientist,16,160000
Master,Data Scientist,6,150000
High School,Sales Associate,0,25000
PhD,Software Engineer Manager,0,52612
Master,Data Scientist,6,155000
PhD,Senior Human Resources Manager,12,120000
High School,Junior Sales Associate,1,26000
Master,Marketing Manager,12,150000
Bachelor,Web Developer,4,65000
Bachelor,Front end Developer,3,80000
Master,Marketing Director,14,195000
Master,Data Scientist,9,140000
Bachelor,Junior HR Generalist,2,42000
Master,Data Analyst,9,120000
Bachelor,Software Engineer,12,195000
Bachelor,Marketing Analyst,2,50000
Bachelor,Financial Manager,16,200000
Master,Software Engineer Manager,17,151670
Bachelor,Financial Analyst,6,65000
Master,Software Engineer,6,170000
PhD,Senior Research Scientist,11,135000
Bachelor,Junior Software Engineer,2,48000
Bachelor,Marketing Analyst,2,50000
Bachelor,Data Analyst,2,110000
Master,Director of HR,7,90000
PhD,Director of Marketing,12,170000
PhD,Senior Project Engineer,17,195000
High School,Junior Web Developer,4,55000
Bachelor,Front end Developer,3,80000
Bachelor,Back end Developer,3,80000
Master,Marketing Manager,13,130000
PhD,Research Scientist,13,185000
Bachelor,Senior Product Marketing Manager,5,85000
Master,Back end Developer,4,73938
Bachelor,Web Developer,5,70000
Bachelor,Operations Manager,5,70000
Master,Full Stack Engineer,28,191239
PhD,Research Scientist,8,120000
PhD,Marketing Manager,7,90000
Bachelor,Software Engineer,4,140000
Master,Product Manager,3,130000
Bachelor,Full Stack Engineer,7,130000
Bachelor,Operations Manager,7,85000
PhD,Senior Data Scientist,12,170000
Master,Data Analyst,9,120000
Master,Marketing Director,11,160000
Bachelor,Financial Analyst,1,55000
Master,Senior Software Engineer,18,152168
Bachelor,Full Stack Engineer,5,100000
High School,Junior Sales Associate,1,25000
Bachelor,Marketing Coordinator,5,90000
Bachelor,Sales Manager,11,160000
Bachelor,Data Analyst,2,110000
Bachelor,Data Analyst,2,100000
PhD,Data Scientist,16,160000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Data Analyst,5,145000
Bachelor,Financial Manager,16,215000
Master,Marketing Manager,13,130000
Bachelor,Software Engineer,8,190000
Master,Senior Project Engineer,6,107906
Master,Human Resources Coordinator,3,50000
Bachelor,Front end Developer,2,70000
Bachelor,Web Developer,1,40000
PhD,Data Scientist,19,190000
Bachelor,Front end Developer,10,128999
Bachelor,Human Resources Manager,8,95000
Bachelor,Senior Project Engineer,6,88552
Master,Senior Project Engineer,5,101733
Master,Marketing Director,14,195000
PhD,Senior Project Engineer,13,185000
Master,Product Manager,11,198000
Master,Senior HR Generalist,10,105000
Bachelor,Software Engineer,4,75000
Master,Marketing Manager,10,110000
Bachelor,Junior Operations Analyst,1,35000
Master,Human Resources Coordinator,3,50000
Bachelor,Junior Product Manager,4,65000
PhD,Senior Project Engineer,14,180000
Bachelor,Human Resources Manager,9,99000
Bachelor,Operations Manager,6,75000
Master,Director of HR,6,95000
PhD,Director of HR,15,150000
Master,Senior Software Engineer,9,105000
Master,Senior HR Generalist,9,95000
Bachelor,Software Engineer,4,65000
Bachelor,Software Engineer,5,80000
Bachelor,Web Developer,5,70000
High School,Junior HR Generalist,2,35000
Bachelor,Back end Developer,8,140000
Bachelor,Back end Developer,1,55000
PhD,Marketing Manager,9,95000
Master,Back end Developer,3,90000
Bachelor,Software Engineer,4,65000
Master,Financial Analyst,6,100000
Bachelor,Sales Manager,5,90000
Bachelor,Software Developer,2,60000
Bachelor,Web Developer,4,65000
PhD,Data Scientist,19,190000
PhD,Director of Data Science,18,210000
Bachelor,Software Engineer,1,50000
Bachelor,Front end Developer,3,80000
High School,Junior Sales Representative,0,25000
Bachelor,Product Manager,7,120000
Bachelor,Financial Analyst,1,55000
Bachelor,Software Developer,2,60000
PhD,Senior Software Engineer,14,175000
Master,Senior Software Engineer,19,185000
PhD,Software Engineer Manager,18,195000
Master,Front end Developer,5,105000
Bachelor,Product Manager,7,120000
Master,Senior Business Analyst,6,90000
PhD,Research Scientist,12,170000
High School,Sales Associate,0,25000
Bachelor,Senior Project Engineer,25,177177
Bachelor,Product Manager,4,150000
Bachelor,Front End Developer,4,80000
PhD,Software Engineer Manager,26,185982
Master,Senior Project Engineer,25,178859
PhD,Sales Director,10,155000
Master,Senior Project Engineer,8,122354
PhD,Data Scientist,19,193000
Bachelor,Senior Business Analyst,10,110000
Master,Software Developer,5,70000
Bachelor,Product Manager,1,60000
Master,Product Manager,14,180000
Master,Data Scientist,10,195000
Bachelor,Marketing Analyst,3,60000
Master,Director of HR,20,180000
Bachelor,Front end Developer,11,136062
Master,Marketing Manager,9,135000
PhD,Data Scientist,6,100000
Master,Financial Manager,7,120000
Bachelor,Operations Manager,6,90000
Master,Senior Software Engineer,28,186610
Bachelor,Junior Marketing Specialist,3,45000
Bachelor,Product Manager,13,160000
PhD,Software Engineer Manager,0,52612
Bachelor,Junior Software Engineer,1,45000
PhD,Software Engineer Manager,21,174821
Bachelor,Junior Software Developer,2,36000
Bachelor,Product Designer,3,60000
Bachelor,Senior Software Engineer,20,139398
PhD,Data Scientist,15,150000
High School,Junior Sales Representative,0,25000
Master,Full Stack Engineer,3,100000
PhD,Data Scientist,10,193000
Bachelor,Marketing Coordinator,5,90000
Bachelor,Data Analyst,3,100000
Bachelor,Marketing Analyst,2,50000
Bachelor,Sales Manager,6,75000
Bachelor,Sales Director,6,75000
Bachelor,Senior Accountant,7,90000
Master,Senior Software Engineer,21,180367
PhD,Data Scientist,8,140000
Master,Product Manager,11,198000
Master,Content Marketing Manager,19,190000
PhD,Software Engineer Manager,15,180000
Master,Marketing Manager,7,110000
Master,Senior Project Engineer,7,135000
Bachelor,Product Manager,1,60000
Bachelor,Marketing Analyst,4,75000
Bachelor,Full Stack Engineer,4,79652
Master,Data Scientist,9,140000
PhD,Data Scientist,9,140000
Master,Sales Manager,13,130000
Master,Marketing Coordinator,9,100000
Bachelor,Sales Director,9,140000
Bachelor,Product Manager,7,120000
Bachelor,Junior Sales Representative,6,75000
Bachelor,Software Engineer,5,160000
Bachelor,Software Engineer,8,190000
